nodes-10000,edges-9999,weights
9929,6917,11
7185,5820,43
5820,2009,16
2009,6583,22
5820,7394,25
2009,553,27
553,6655,7
6655,4550,1
6655,2010,8
4550,1580,18
4550,4228,31
6655,6072,33
6072,5350,12
5350,3038,8
3038,911,13
3038,7129,19
7129,9656,8
9656,4961,9
4961,6280,16
7129,4032,19
3038,1195,21
3038,2579,28
2579,3884,3
3884,9796,3
3884,9437,12
2579,9779,13
9779,1600,12
9779,2909,16
1600,3423,16
2909,1658,22
1658,2319,8
2579,6765,25
5350,4387,28
4387,997,3
997,5952,6
997,403,11
4387,5684,19
5684,2698,22
2698,2052,2
2052,4624,20
2052,3137,23
403,4379,23
403,9890,28
1195,5029,32
5029,6748,12
6748,3361,15
3361,8375,9
3361,1401,29
9437,9884,33
9884,7154,25
9884,7752,30
6583,6713,35
2698,9354,35
9354,6596,25
6596,3011,6
6596,3383,28
9354,345,30
7129,2718,38
2718,9742,25
9742,9703,37
9703,6009,27
5820,5425,39
5425,6086,5
5425,6055,39
6713,7529,40
9354,735,42
735,2257,8
2257,6580,26
2319,8140,42
8140,1105,1
8140,3241,41
3241,3920,26
3920,4884,5
3920,8376,9
4884,4495,32
4495,6846,11
6846,5314,10
5314,1123,3
4495,2066,24
4495,5095,31
6846,3974,41
3974,9189,4
9189,9507,40
9507,7414,32
7414,8352,7
8352,1665,9
1665,2320,16
2320,5396,3
2320,8024,21
8024,8546,29
8546,9958,10
8546,6712,26
6712,8769,5
8769,376,6
8769,2633,17
8546,4065,30
4065,1488,30
8546,3846,34
3846,9659,15
3846,8353,19
8353,7890,25
7890,5464,18
5464,8116,26
8116,326,22
326,9174,6
8116,6830,22
6830,6771,17
6771,2413,27
6830,1634,29
1634,1728,29
6830,1895,29
1895,7992,3
7992,4919,2
7992,6905,4
6905,1667,4
7992,4092,25
5464,8973,30
8973,5250,2
5250,8032,14
8032,7624,3
7624,7640,7
8032,4866,26
7624,7303,26
7303,895,10
5250,6725,31
6725,5191,1
5191,2276,1
6725,815,12
6725,2585,22
2585,2508,36
2508,1926,2
2508,6644,29
6644,147,3
6644,1763,6
5396,74,37
9507,2451,39
6830,5915,39
5915,1097,36
1097,2412,19
2412,6833,12
6833,2727,9
6833,9867,25
2727,8743,29
2412,4752,30
4752,7026,21
7026,5393,23
5393,6964,32
6964,4852,34
4852,4226,11
4226,9402,7
8743,7439,39
7439,2612,1
7439,1622,5
7439,4997,30
4997,227,14
227,7114,2
7114,8741,14
4997,598,38
8024,5457,40
6712,5861,40
5457,7852,40
